approach;sample_size;repetition;activity;prob
Random;300;3;W_Nabellen incomplete dossiers;0.011692307692307693
Random;300;3;O_DECLINED;0.009846153846153846
Random;300;3;W_Beoordelen fraude;0.004923076923076923
Random;300;3;W_Wijzigen contractgegevens;0.0006153846153846154
Random;300;4;W_Completeren aanvraag;0.30931923331130207
Random;300;4;W_Nabellen offertes;0.25512227362855255
Random;300;4;W_Valideren aanvraag;0.07402511566424323
Random;300;4;A_CANCELLED;0.046265697290152015
Random;300;4;O_CANCELLED;0.034368803701255786
Random;300;4;A_DECLINED;0.02775941837409121
Random;300;4;A_APPROVED;0.02775941837409121
Random;300;4;A_REGISTERED;0.02775941837409121
Random;300;4;O_ACCEPTED;0.02775941837409121
Random;300;4;A_ACTIVATED;0.02775941837409121
Random;300;4;O_SENT;0.020489094514210177
Random;300;4;O_CREATED;0.020489094514210177
Random;300;4;O_SELECTED;0.020489094514210177
Random;300;4;O_SENT_BACK;0.01784534038334435
Random;300;4;W_Afhandelen leads;0.015862524785194978
Random;300;4;O_DECLINED;0.01520158625247852
Random;300;4;A_ACCEPTED;0.01255783212161269
Random;300;4;A_FINALIZED;0.009253139458030404
Random;300;4;W_Nabellen incomplete dossiers;0.007931262392597489
Random;300;4;W_Beoordelen fraude;0.0019828155981493722
Random;300;5;W_Completeren aanvraag;0.26983135540287323
Random;300;5;W_Nabellen offertes;0.20299812617114305
Random;300;5;W_Valideren aanvraag;0.10306058713304185
Random;300;5;A_CANCELLED;0.04871955028107433
Random;300;5;O_CANCELLED;0.04122423485321674
Random;300;5;W_Nabellen incomplete dossiers;0.030605871330418487
Random;300;5;W_Afhandelen leads;0.028107432854465958
Random;300;5;O_SENT;0.027482823235477825
Random;300;5;O_CREATED;0.027482823235477825
Random;300;5;O_SELECTED;0.027482823235477825
Random;300;5;A_ACTIVATED;0.02623360399750156
Random;300;5;A_REGISTERED;0.02623360399750156
Random;300;5;A_APPROVED;0.02623360399750156
Random;300;5;O_ACCEPTED;0.02623360399750156
Random;300;5;A_DECLINED;0.023735165521549032
Random;300;5;O_SENT_BACK;0.018738288569643973
Random;300;5;A_ACCEPTED;0.016864459712679577
Random;300;5;A_FINALIZED;0.01561524047470331
Random;300;5;O_DECLINED;0.009993753903810118
Random;300;5;W_Beoordelen fraude;0.003123048094940662
Random;300;6;W_Completeren aanvraag;0.27161997563946405
Random;300;6;W_Nabellen offertes;0.20889159561510354
Random;300;6;W_Valideren aanvraag;0.09683313032886723
Random;300;6;O_CANCELLED;0.0389768574908648
Random;300;6;A_CANCELLED;0.03714981729598051
Random;300;6;O_SENT;0.03288672350791717
Random;300;6;O_CREATED;0.03288672350791717
Random;300;6;O_SELECTED;0.03288672350791717
Random;300;6;A_DECLINED;0.027405602923264313
Random;300;6;W_Nabellen incomplete dossiers;0.02679658952496955
Random;300;6;A_REGISTERED;0.02679658952496955
Random;300;6;A_ACTIVATED;0.02679658952496955
Random;300;6;O_ACCEPTED;0.02679658952496955
Random;300;6;A_APPROVED;0.02679658952496955
Random;300;6;O_SENT_BACK;0.024360535931790498
Random;300;6;A_ACCEPTED;0.015834348355663823
Random;300;6;A_FINALIZED;0.015225334957369063
Random;300;6;W_Afhandelen leads;0.012789281364190013
Random;300;6;O_DECLINED;0.012789281364190013
Random;300;6;W_Beoordelen fraude;0.0054811205846528625
Random;300;7;W_Completeren aanvraag;0.2834541858932103
Random;300;7;W_Nabellen offertes;0.23665128543177325
Random;300;7;W_Valideren aanvraag;0.09492419248516809
Random;300;7;A_CANCELLED;0.044166117336849046
Random;300;7;O_CANCELLED;0.035596572181938034
Random;300;7;O_SENT;0.025708635464733027
Random;300;7;O_CREATED;0.025708635464733027
Random;300;7;O_SELECTED;0.025708635464733027
Random;300;7;A_DECLINED;0.025708635464733027
Random;300;7;O_ACCEPTED;0.025049439683586024
Random;300;7;A_REGISTERED;0.025049439683586024
Random;300;7;A_ACTIVATED;0.025049439683586024
Random;300;7;A_APPROVED;0.025049439683586024
Random;300;7;O_SENT_BACK;0.02241265655899802
Random;300;7;W_Afhandelen leads;0.017139090309822018
