approach;sample_size;repetition;feature;informative;correlation
Feature;100;0;trace:area@137.0;False;0.0
Feature;100;0;event:concept:name@calculate protocol;False;0.0
Feature;100;0;event:org:resource@8c9a01;False;0.0
Feature;100;0;trace:payment_actual0@156000.0;False;0.0
Feature;100;0;trace:area@404.0;False;0.0
Feature;100;0;trace:amount_applied0@156000.0;False;0.0
Feature;100;0;trace:area@77.0;False;0.0
Feature;100;0;trace:payment_actual0@93000.0;False;0.0
Feature;100;0;trace:area@128.0;False;0.0
Feature;100;0;trace:area@198.0;False;0.0
Feature;100;0;trace:area@148.0;False;0.0
Feature;100;0;trace:area@63.0;False;0.0
Feature;100;0;trace:area@115.0;False;0.0
Feature;100;0;trace:area@331.0;False;0.0
Feature;100;0;trace:area@131.0;False;0.0
Feature;100;0;trace:amount_applied0@49000.0;False;0.0
Feature;100;0;trace:area@117.0;False;0.0
Feature;100;0;trace:area@164.0;False;0.0
Feature;100;0;trace:number_parcels@80.0;False;0.0
Feature;100;0;trace:area@220.0;False;0.0
Feature;100;0;event:org:resource@eb38eb;False;0.0
Feature;100;0;trace:area@57.0;False;0.0
Feature;100;0;trace:payment_actual0@88000.0;False;0.0
Feature;100;0;trace:area@294.0;False;0.0
Feature;100;0;trace:amount_applied0@93000.0;False;0.0
Feature;100;0;trace:penalty_JLP6@True;False;0.0
Feature;100;0;trace:area@107.0;False;0.0
Feature;100;0;trace:area@134.0;False;0.0
Feature;100;0;trace:area@153.0;False;0.0
Feature;100;0;trace:amount_applied0@46000.0;False;0.0
Feature;100;0;trace:area@176.0;False;0.0
Feature;100;0;trace:area@110.0;False;0.0
Feature;100;0;trace:area@158.0;False;0.0
Feature;100;0;event:org:resource@d4d37d;False;0.0
Feature;100;0;trace:area@81.0;False;0.0
Feature;100;0;trace:area@190.0;False;0.0
Feature;100;0;trace:area@92.0;False;0.0
Feature;100;0;trace:area@105.0;False;0.0
Feature;100;0;trace:area@122.0;False;0.0
Feature;100;0;trace:area@99.0;False;0.0
Feature;100;0;trace:cross_compliance@10.0;False;0.0
Feature;100;0;trace:penalty_amount0@6500.0;False;0.0
Feature;100;0;trace:penalty_amount0@4700.0;False;0.0
Feature;100;0;trace:penalty_amount0@3600.0;False;0.0
Feature;100;0;trace:penalty_AVJLP@True;False;0.0
Feature;100;0;trace:penalty_C16@True;False;0.0
Feature;100;0;trace:penalty_amount0@13900.0;False;0.0
Feature;100;0;trace:payment_actual0@148000.0;False;0.0
Feature;100;0;trace:penalty_amount0@3500.0;False;0.0
Feature;100;0;trace:penalty_amount0@5000.0;False;0.0
Feature;100;0;trace:penalty_amount0@6000.0;False;0.0
Feature;100;0;trace:payment_actual0@64000.0;False;0.0
Feature;100;0;trace:payment_actual0@66000.0;False;0.0
Feature;100;0;trace:cross_compliance@7.0;False;0.0
Feature;100;0;trace:penalty_amount0@4900.0;False;0.0
Feature;100;0;trace:penalty_amount0@8200.0;False;0.0
Feature;100;0;event:org:resource@d114c8;False;0.0
Feature;100;0;trace:penalty_amount0@4200.0;False;0.0
Feature;100;0;event:org:resource@d4758f;False;0.0
Feature;100;0;trace:payment_actual0@67000.0;False;0.0
Feature;100;0;trace:penalty_amount0@6100.0;False;0.0
Feature;100;0;event:org:resource@e99397;False;0.0
Feature;100;0;trace:payment_actual0@586000.0;False;0.0
Feature;100;0;trace:penalty_amount0@7700.0;False;0.0
Feature;100;0;event:org:resource@91bca0;False;0.0
Feature;100;0;trace:penalty_amount0@4400.0;False;0.0
Feature;100;0;trace:payment_actual0@91000.0;False;0.0
Feature;100;0;trace:payment_actual0@46000.0;False;0.0
Feature;100;0;trace:payment_actual0@110000.0;False;0.0
Feature;100;0;trace:payment_actual0@87000.0;False;0.0
Feature;100;0;trace:cross_compliance@23.0;False;0.0
Feature;100;0;trace:penalty_amount0@6300.0;False;0.0
Feature;100;0;trace:payment_actual0@51000.0;False;0.0
Feature;100;0;trace:cross_compliance@14.0;False;0.0
Feature;100;0;trace:payment_actual0@89000.0;False;0.0
Feature;100;0;trace:penalty_amount0@2300.0;False;0.0
Feature;100;0;trace:penalty_amount0@2000.0;False;0.0
Feature;100;0;trace:penalty_AVGP@True;False;0.0
Feature;100;0;trace:penalty_AVBP@True;False;0.0
Feature;100;0;trace:penalty_amount0@2100.0;False;0.0
Feature;100;0;trace:penalty_JLP3@True;False;0.0
Feature;100;0;trace:penalty_amount0@3700.0;False;0.0
Feature;100;0;trace:penalty_amount0@6800.0;False;0.0
Feature;100;0;trace:cross_compliance@35.0;False;0.0
Feature;100;0;trace:penalty_amount0@2700.0;False;0.0
Feature;100;0;trace:penalty_amount0@3200.0;False;0.0
Feature;100;0;trace:payment_actual0@63000.0;False;0.0
Feature;100;0;trace:penalty_amount0@2900.0;False;0.0
Feature;100;0;trace:penalty_amount0@10000.0;False;0.0
Feature;100;0;trace:payment_actual0@55000.0;False;0.0
Feature;100;0;trace:penalty_amount0@7200.0;False;0.0
Feature;100;0;trace:cross_compliance@12.0;False;0.0
Feature;100;0;trace:cross_compliance@20.0;False;0.0
Feature;100;0;trace:penalty_amount0@17600.0;False;0.0
Feature;100;0;trace:penalty_C9@True;False;0.0
Feature;100;0;event:concept:name@change department;False;0.0
Feature;100;0;trace:penalty_amount0@3900.0;False;0.0
Feature;100;0;trace:payment_actual0@72000.0;False;0.0
Feature;100;0;event:org:resource@Inspection service;False;0.0
Feature;100;0;trace:penalty_amount0@3400.0;False;0.0
Feature;100;0;trace:penalty_amount0@5100.0;False;0.0
Feature;100;0;trace:payment_actual0@582000.0;False;0.0
Feature;100;0;trace:payment_actual0@61000.0;False;0.0
Feature;100;0;trace:penalty_amount0@2200.0;False;0.0
Feature;100;0;trace:payment_actual0@49000.0;False;0.0
Feature;100;0;trace:payment_actual0@75000.0;False;0.0
Feature;100;0;event:concept:name@cancel offline;False;0.0
Feature;100;0;event:org:resource@b2b786;False;0.0
Feature;100;0;trace:penalty_amount0@3800.0;False;0.0
Feature;100;0;trace:payment_actual0@57000.0;False;0.0
Feature;100;0;trace:payment_actual0@73000.0;False;0.0
Feature;100;0;trace:payment_actual0@59000.0;False;0.0
Feature;100;0;trace:penalty_amount0@13700.0;False;0.0
Feature;100;0;trace:payment_actual0@90000.0;False;0.0
Feature;100;0;trace:penalty_amount0@4500.0;False;0.0
Feature;100;0;event:org:resource@f8da29;False;0.0
Feature;100;0;trace:cross_compliance@6.0;False;0.0
Feature;100;0;trace:penalty_amount0@3100.0;False;0.0
Feature;100;0;trace:payment_actual0@78000.0;False;0.0
Feature;100;0;trace:penalty_amount0@1700.0;False;0.0
Feature;100;0;event:org:resource@2bf205;False;0.0
Feature;100;0;trace:penalty_amount0@4000.0;False;0.0
Feature;100;0;trace:penalty_amount0@2800.0;False;0.0
Feature;100;0;event:org:resource@c522f8;False;0.0
Feature;100;0;trace:penalty_amount0@7000.0;False;0.0
Feature;100;0;trace:cross_compliance@2.0;False;0.0
Feature;100;0;trace:penalty_amount0@1300.0;False;0.0
Feature;100;0;event:org:resource@ef80e3;False;0.0
Feature;100;0;trace:penalty_amount0@2600.0;False;0.0
Feature;100;0;trace:penalty_amount0@5300.0;False;0.0
Feature;100;0;trace:payment_actual0@68000.0;False;0.0
Feature;100;0;event:org:resource@7886b1;False;0.0
Feature;100;0;event:org:resource@7850e8;False;0.0
Feature;100;0;trace:penalty_amount0@4100.0;False;0.0
Feature;100;0;event:org:resource@796771;False;0.0
Feature;100;0;trace:payment_actual0@111000.0;False;0.0
Feature;100;0;trace:penalty_amount0@3000.0;False;0.0
Feature;100;0;trace:payment_actual0@80000.0;False;0.0
Feature;100;0;trace:penalty_amount0@4300.0;False;0.0
Feature;100;0;event:org:resource@fa6437;False;0.0
Feature;100;0;trace:amount_applied0@48000.0;False;0.0
Feature;100;0;trace:penalty_amount0@4600.0;False;0.0
Feature;100;0;trace:penalty_amount0@1200.0;False;0.0
Feature;100;0;trace:payment_actual0@79000.0;False;0.0
Feature;100;0;trace:payment_actual0@60000.0;False;0.0
Feature;100;0;trace:penalty_amount0@1600.0;False;0.0
Feature;100;0;trace:payment_actual0@48000.0;False;0.0
Feature;100;0;trace:cross_compliance@4.0;False;0.0
Feature;100;0;trace:penalty_amount0@800.0;False;0.0
Feature;100;0;trace:penalty_amount0@4800.0;False;0.0
Feature;100;0;trace:amount_applied0@45000.0;False;0.0
Feature;100;0;event:org:resource@2b8616;False;0.0
Feature;100;0;trace:penalty_amount0@900.0;False;0.0
Feature;100;0;trace:payment_actual0@585000.0;False;0.0
Feature;100;0;trace:penalty_B4@True;False;0.0
Feature;100;0;trace:area@179.0;False;0.0
Feature;100;0;trace:area@144.0;False;0.0
Feature;100;0;trace:area@152.0;False;0.0
Feature;100;0;trace:penalty_amount0@1800.0;False;0.0
Feature;100;0;trace:payment_actual0@62000.0;False;0.0
Feature;100;0;trace:payment_actual0@45000.0;False;0.0
Feature;100;0;trace:penalty_JLP1@True;False;0.0
Feature;100;0;event:org:resource@bc063d;False;0.0
Feature;100;0;trace:payment_actual0@112000.0;False;0.0
Feature;100;0;trace:area@106.0;False;0.0
Feature;100;0;trace:penalty_JLP2@True;False;0.0
Feature;100;0;event:org:resource@352a49;False;0.0
Feature;100;0;trace:area@136.0;False;0.0
Feature;100;0;trace:area@113.0;False;0.0
Feature;100;0;event:concept:name@discard;False;0.0
Feature;100;0;trace:area@41.0;False;0.0
Feature;100;0;trace:payment_actual0@150000.0;False;0.0
